39,57359427,,,,,
22,15067083,,,,,,
22,17097656,,,,,,
22,16549115,,,,,,
22,21973489,,,,,,
22,20144375,,,,,,
22,16689479,,,,,,
22,19261407,,,,,,
22,18659844,,,,,,
22,14203645,,,,,,
22,20025052,,,,,,
22,17314062,,,,,,
22,18315052,,,,,,
22,23720365,,,,,,
22,15454323,,,,,,
22,16500052,,,,,,
22,22362709,,,,,,
22,18780365,,,,,,
22,16814532,,,,,,
22,19211355,,,,,,
22,15879114,,,,,,
22,17178282,,,,,,
22,16988125,,,,,,
22,14102084,,,,,,
22,16459531,,,,,,
22,19191302,,,,,,
22,18385989,,,,,,
22,20722291,,,,,,
22,22363959,,,,,,
22,17238333,,,,,,
22,15892396,,,,,,
22,20729427,,,,,,
22,19474740,,,,,,
22,18146563,,,,,,
22,16235990,,,,,,
22,16648177,,,,,,
22,18279375,,,,,,
22,16950990,,,,,,
22,16868750,,,,,,
22,19998958,,,,,,
22,19754323,,,,,,
22,20455730,,,,,,
22,20171146,,,,,,
22,21525781,,,,,,
22,16227865,,,,,,
22,19248230,,,,,,
22,22067553,,,,,,
22,15365573,,,,,,
22,15369843,,,,,,
22,14647396,,,,,,
22,15782500,,,,,,
22,18921979,,,,,,
22,18505104,,,,,,
22,18354896,,,,,,
22,19425938,,,,,,
22,18454010,,,,,,
22,17357761,,,,,,
22,16212761,,,,,,
22,20233125,,,,,,
22,18963593,,,,,,
22,19383437,,,,,,
22,17848437,,,,,,
22,18933802,,,,,,
22,19499219,,,,,,
22,20196042,,,,,,
22,22637500,,,,,,
22,22602656,,,,,,
22,18432396,,,,,,
22,20839219,,,,,,
22,26122552,,,,,,
22,17887917,,,,,,
22,16136094,,,,,,
22,16524740,,,,,,
22,18518333,,,,,,
22,17323333,,,,,,
22,17535104,,,,,,
22,14908542,,,,,,
22,17473802,,,,,,
22,18182344,,,,,,
22,17374218,,,,,,
22,14435937,,,,,,
22,16027188,,,,,,
22,15133021,,,,,,
22,15875208,,,,,,
22,17434218,,,,,,
22,18212500,,,,,,
22,18454635,,,,,,
